w,vector_uso
drink,"[0, 0, 1, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 8, 0]",no especificó
bread,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",no especificó
smoke,"[0, 0, 0, 0, 5, 0, 0, 4, 0, 0, 0, 0, 10, 0, 1, 0, 7, 0, 0]",no especificó
break,"[0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 7, 0, 3, 5, 0, 0, 0, 0, 57, 0, 0, 1, 0, 0, 12, 0, 0, 1, 0, 2, 0, 1, 2, 7, 13, 0, 0, 0, 0, 2, 0, 3, 0, 6, 0, 0, 0, 4, 11, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 1, 0, 47, 51, 0, 0, 3, 3, 3, 0, 7, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 6, 0, 1, 1, 0]",no especificó
robe,"[0, 0, 0, 0, 0, 0]",no especificó
laugh,"[0, 0, 0, 0, 6, 0, 10, 2]",no especificó
Somehow,"[0, 0, 0, 5, 0]",no especificó
gotten,"[6, 0, 0, 0, 1, 18, 0, 3, 11, 33, 16, 0, 0, 23, 0, 21, 0, 12, 3, 0, 0, 0, 113, 0, 9, 8, 0, 90, 0, 0, 2, 12, 0, 0, 0, 49, 6, 80, 1, 0, 4, 0, 0, 0, 492, 3, 0, 84, 0, 1, 2, 18, 0, 0, 0, 0, 123, 7, 0, 1, 2, 0, 19, 0, 55, 19, 3, 0, 5, 51]",no especificó
Anyway,"[0, 3, 0, 0, 6, 0]",no especificó
sea,"[19, 13]",no especificó
cognac,[0],no especificó
together,"[0, 0, 30]",no especificó
used,"[0, 0, 1, 0, 0, 0, 7, 1, 66, 0, 43, 0, 6, 1, 0]",no especificó
plane,"[0, 0, 10, 18, 0, 0, 0, 0, 14, 12, 0, 4]",no especificó
thought,"[12, 0, 31, 37, 0, 1, 0, 17, 0, 0, 1, 0, 0, 12, 10, 5, 2, 0, 67, 65, 0, 15, 0, 14, 0, 0, 4, 31, 15, 0]",no especificó
rotten,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",no especificó
assuaged,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0]",no especificó
What's,[],no especificó
an,"[0, 0]",no especificó
ordered,"[2, 70, 1, 0, 0, 17, 0, 39, 12, 51, 3, 34, 1, 3, 0, 1, 8, 0, 21, 5, 0, 0, 72, 0, 0, 0]",no especificó
brush,"[0, 3, 0, 0, 1, 0, 0, 0, 9, 0, 0]",no especificó
hoped,"[0, 16, 7, 22, 0, 0, 0]",no especificó
filter,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",no especificó
took,"[6, 6, 1, 20, 22, 1, 18, 0, 16, 5, 9, 11, 4, 4, 5, 6, 54, 3, 0, 0, 0, 3, 7, 113, 5, 5, 0, 14, 7, 2, 0, 2, 9, 0, 24, 0, 1, 0, 80, 4, 0, 2, 1, 492, 1, 0, 20, 5, 0, 3, 1, 17, 10, 0, 123, 1, 3, 0, 1, 21, 0, 10, 0, 5, 7, 0]",no especificó
sentence,"[1, 0, 0, 188, 0, 2, 0, 3]",no especificó
forty,"[6, 2, 0, 0, 0]",no especificó
dark,"[31, 1, 0, 0, 8, 1, 1, 0, 0, 8, 0, 0, 2, 0, 0, 5, 0, 13, 0, 51, 2, 0, 0, 0, 0, 0, 0, 3, 1, 1, 1, 21, 1]",no especificó
act,"[22, 0, 0, 127, 0, 37, 23, 0, 19, 6, 1, 42, 3, 0, 0, 24, 163, 5, 0, 0]",no especificó
Handsome,"[0, 0, 13, 0, 53, 7, 0, 2, 0, 0, 0, 0, 0, 0]",no especificó
steamed,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",no especificó
seen,"[17, 0, 0, 0, 22, 13, 0, 1, 6, 38, 0, 0, 1, 0, 2, 7, 2, 0, 12, 49, 4, 0, 19, 0, 0, 8, 4, 0, 0, 0, 11, 102, 0, 10, 3, 6, 0, 5, 59, 0, 15, 0, 4, 1, 0, 20, 0, 3, 8, 7, 0, 4, 0, 55, 17]",no especificó
Sunday,"[1, 0, 0, 0, 10, 0]",no especificó
isn't,[],no especificó
cool,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 4]",no especificó
embrace,"[0, 5, 8, 0, 0, 0, 0, 0, 0, 2, 1, 1]",no especificó
sky,"[16, 2, 3, 0]",no especificó
ham,"[0, 0, 4, 4, 0, 0, 0, 0]",no especificó
could,[],no especificó
value,"[1, 0, 0, 13, 0, 0, 0, 8, 0, 17, 1, 7, 1, 1, 1, 17]",no especificó
Thanks,"[5, 0, 0]",no especificó
smelled,"[40, 6, 1, 0, 0]",no especificó
tactful,"[0, 0]",no especificó
beautiful,[16],no especificó
posture,"[19, 0, 0, 10, 8, 1, 0, 0, 6, 3, 0, 18, 0]",no especificó
gently,"[2, 7, 0, 6]",no especificó
grotesque,"[3, 0, 2, 1, 0]",no especificó
because,[],no especificó
smiling,"[4, 0, 2, 0, 0, 4]",no especificó
But,"[115, 409, 211, 25, 11]",no especificó
wine,"[0, 0, 2, 0]",no especificó
amount,"[12, 22, 5, 4, 0, 8, 84, 0, 42, 0]",no especificó
said,"[39, 0, 0, 21, 0, 0, 316, 1, 0, 12, 34, 0, 0, 70, 49, 0, 0]",no especificó
last,"[0, 0, 3, 51, 0, 2, 0, 90, 0, 0, 0, 0, 0, 69, 0, 83, 0, 0, 5, 21, 2, 0, 26, 0, 2, 0, 27, 7, 18]",no especificó
Perhaps,"[13, 13, 0, 0, 18, 0]",no especificó
long,"[0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0]",no especificó
snorted,"[0, 0, 0]",no especificó
today,"[2, 129, 28]",no especificó
come,"[3, 20, 3, 11, 0, 22, 0, 0, 0, 3, 42, 5, 0, 12, 0, 0, 0, 84, 1, 0, 0, 123, 163, 0, 0]",no especificó
putains,[],no especificó
Triomphe,[],no especificó
through,"[0, 32, 0, 125]",no especificó
positive,"[0, 6, 4, 0, 0, 3, 0, 0, 0, 0, 21, 0, 0, 0, 0]",no especificó
mine,[9],no especificó
do,"[0, 22, 5, 0, 0, 6, 9, 3, 0, 0, 113, 0, 0, 3, 0, 0, 1, 84, 18, 0, 46, 0, 0, 163, 0, 1, 0, 6, 25, 1]",no especificó
down,"[9, 20, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 13, 1, 0, 0, 32, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0]",no especificó
others,[],no especificó
bench,"[0, 1, 0, 3, 2, 0]",no especificó
fantastic,"[1, 1, 3, 1, 1, 1, 0, 10, 12, 2, 6, 4, 0, 0]",no especificó
squeezed,"[6, 0, 0, 14, 0, 2, 0, 0, 1, 5, 0, 0, 1, 0, 0, 5, 0, 0, 0, 10, 1, 0, 0, 1, 8, 1, 0, 0, 0, 0]",no especificó
from,[],no especificó
wouldn't,[],no especificó
--,[],no especificó
bullet,"[5, 0, 7, 5, 0, 0, 0]",no especificó
years,"[0, 61, 36, 0, 0, 0, 12, 0, 0, 133, 33]",no especificó
topcoat,"[1, 0, 0]",no especificó
felt,"[0, 40, 0, 37, 0, 1, 0, 55, 0, 8, 49, 49, 0]",no especificó
empty,"[0, 0, 0, 0, 0, 1, 1, 12, 3]",no especificó
concentrated,"[6, 2, 33, 0, 0, 23, 0, 0, 5, 0, 0, 0, 5, 0, 0, 2, 0]",no especificó
Orly,[0],no especificó
aqua-lung,"[0, 0, 0]",no especificó
as,"[0, 0, 0, 147, 828, 0, 0, 0, 0, 0, 69, 4, 0, 0, 0, 0, 0, 0, 0, 2793, 0, 0]",no especificó
busy,"[0, 0, 0, 0, 3, 1, 4, 0, 0, 0]",no especificó
hot,"[26, 0, 0, 0, 1, 12]",no especificó
played,"[0, 22, 18, 4, 0, 1, 127, 0, 0, 0, 23, 0, 0, 6, 4, 0, 19, 0, 43, 0, 0, 0, 0, 3, 0]",no especificó
meaning,"[11, 2, 65, 0, 1, 14, 2, 2, 37, 0, 3, 0, 21, 2, 0, 0]",no especificó
young,"[0, 0, 0, 13, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 92, 0, 0]",no especificó
(,[],no especificó
each,"[0, 0, 0, 0, 81]",no especificó
couldn't,[],no especificó
Maybe,"[13, 13, 0, 0, 18, 0]",no especificó
Her,[],no especificó
observed,"[9, 35, 0, 11, 0, 0, 8, 0, 0, 0, 1, 12, 4, 5, 13, 3, 0, 9, 3, 12, 55, 0, 8]",no especificó
undressed,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0]",no especificó
