categoria,metonimia,w
reportage,273.2918525918524,2217
editorial,252.962795537795,2230
reviews,267.3208680208676,2356
religion,265.22606282606193,2410
skills & hobbies,260.77830780330754,2295
popular lore,263.91099178599177,2256
belles lettres,263.5388195138189,2403
miscellaneous,246.39977799977746,2207
learned,231.37843986079255,2205
general fiction,230.44950882450826,2296
mistery and detective fiction,245.56009546009463,2288
science fiction,248.0798007548002,2461
adventure and western fiction,253.20416527916453,2349
romance and love story,248.49708902208823,2422
