categoria,metonimia,w
reportage,233.99592490842463,2277
editorial,252.29809496059465,2200
reviews,242.3226565101564,2415
religion,234.21091131091075,2213
skills & hobbies,237.43338605838582,2279
popular lore,270.5444999444997,2369
belles lettres,279.74454989454966,2289
miscellaneous,302.27384282384276,2416
learned,241.59998334998312,2189
general fiction,243.0625180375174,2440
mistery and detective fiction,231.74134476634435,2370
science fiction,260.93059440559404,2486
adventure and western fiction,232.90989288489178,2383
romance and love story,261.1946331446324,2332
