metacategoria,count,mean,std,min,25%,50%,75%,max
fiction,25.0,0.2764669254043655,0.21597383658759398,0.0,0.0788538954202229,0.2810646621408832,0.4212556692880209,0.6721142236530211
neither,5.0,0.874460301527327,0.2807152996597233,0.3723015076366351,0.9999999999999996,1.0,1.0,1.0
non-fiction,40.0,0.41939423191025293,0.2915251517827541,0.0,0.15312047020611957,0.416670423027506,0.6874162082308587,1.0
