categoria,metafora,metonimia,w,metacategoria,metafora_n,metonimia_n
reportage,880514.2266051729,232.26691723309344,2340,non-fiction,0.21679123392197375,0.2432185676736034
editorial,880324.3938971661,245.7195318570314,2262,non-fiction,0.21637086960731922,0.46489451084348987
reviews,929802.3841621898,242.9537623324385,2370,non-fiction,0.3259346096320257,0.4193193877099035
religion,850127.6846531004,264.68307213082664,2314,non-fiction,0.14950347294272115,0.7773810269259029
skills & hobbies,831781.7256289031,242.63225246975207,2232,non-fiction,0.10887830053243452,0.4140214583451085
popular lore,833825.8252252622,265.8398809523804,2222,non-fiction,0.11340474139150092,0.796443245963149
belles lettres,877690.5254131397,229.7858696858691,2288,non-fiction,0.21053844835703384,0.20233517284999625
miscellaneous,782613.2736154785,278.1929154179149,2214,neither,0.0,0.9999999999999996
learned,863208.0472119334,266.9982638276756,2254,non-fiction,0.17846854276767665,0.8155314026978249
general fiction,891211.5752720799,249.95016095016047,2264,fiction,0.24047937327477942,0.5346079993093347
mistery and detective fiction,1032943.8566940714,244.61502386502295,2446,fiction,0.5543304159636528,0.44669411949120486
science fiction,1064426.5465721537,235.0678052339812,2412,fiction,0.6240454797850516,0.28937238287360056
adventure and western fiction,1234204.1946069165,229.8177691589446,2560,fiction,1.0000000000000002,0.2028608212817926
romance and love story,993413.094671098,217.5069680319677,2428,fiction,0.4667937534989022,0.0
