metacategoria,count,mean,std,min,25%,50%,75%,max
fiction,25.0,0.6355721255890695,0.2719126967834778,0.1228717596352928,0.4514694848659211,0.6316482243455992,0.9010303854002606,1.0000000000000002
neither,5.0,0.2060580262991305,0.13504782413606464,0.0,0.1680565667768574,0.2097216166864326,0.3179156226411486,0.3345963253912138
non-fiction,40.0,0.25614000967146305,0.17977315352600542,0.0,0.1488078111281947,0.2270616994591828,0.35621161502365517,0.6638707725004624
