categoria,metafora,w
reportage,832961.122494042,2275
editorial,798751.012651529,2234
reviews,884194.0844699917,2320
religion,831865.8440237658,2332
skills & hobbies,850383.4965037219,2257
popular lore,869221.9181097293,2264
belles lettres,871094.3935751553,2311
miscellaneous,839155.9869742717,2360
learned,781733.2618728676,2182
general fiction,924678.6859582601,2325
mistery and detective fiction,1123420.1486319497,2428
science fiction,935994.4646234306,2364
adventure and western fiction,1032713.1638679345,2380
romance and love story,997559.1771764177,2320
