categoria,metafora,w
reportage,869205.2371696023,2277
editorial,777241.5394134748,2200
reviews,978095.225396233,2415
religion,831466.3628116096,2213
skills & hobbies,833209.3790445685,2279
popular lore,965391.1906183016,2369
belles lettres,863139.7507327744,2289
miscellaneous,873426.7117151126,2416
learned,912477.0323082526,2189
general fiction,1025249.8452137534,2440
mistery and detective fiction,959584.2017381956,2370
science fiction,1049847.7175834612,2486
adventure and western fiction,1079790.9124281127,2383
romance and love story,969075.2121776282,2332
