categoria,metafora,w
reportage,739005.545665808,2217
editorial,839392.6586708553,2230
reviews,897166.8448193009,2356
religion,971902.397216239,2410
skills & hobbies,913636.3833983988,2295
popular lore,827298.639753781,2256
belles lettres,948168.5408124946,2403
miscellaneous,863483.173212439,2207
learned,842569.1577530246,2205
general fiction,917557.8900258496,2296
mistery and detective fiction,866731.5026959036,2288
science fiction,1102841.6209263606,2461
adventure and western fiction,976789.2077744814,2349
romance and love story,1111028.8409040042,2422
